"SequenceName","OriginalName","segNumber","accn","isName","subtype","host","birdOrder","wildDomestic","bird","continent","country","place","dateTxt","decDate"
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Anhui/56/2005|2005.45205479452","H5N1_Avian_HM172270_A/duck/Anhui/56/2005_China_2005//_8 (NS)",8,"HM172270","A/duck/Anhui/56/2005","H5N1","Avian","ans","Domestic","duck","Asia","China","Anhui","2005//",2005.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Anhui/1/06|2006.45205479452","H5N1_Avian_HM172304_A/duck/Anhui/1/06_China_2006//_8 (NS)",8,"HM172304","A/duck/Anhui/1/06","H5N1","Avian","ans","Domestic","duck","Asia","China","Anhui","2006//",2006.45205479452
"H5N1_Avian_ans_Domestic_Asia_Cambodia_A/duck/Cambodia/D14AL/2006|2006.09315068493","H5N1_Avian_HQ200454_A/duck/Cambodia/D14AL/2006_Cambodia_2006/02/04_8 (NS)",8,"HQ200454","A/duck/Cambodia/D14AL/2006","H5N1","Avian","ans","Domestic","duck","Asia","Cambodia","Cambodia","2006/02/04",2006.09315068493
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/China/E319-2/03|2003.45205479452","H5N1_Avian_AY518360_A/duck/China/E319-2/03_China_2003//_8 (NS)",8,"AY518360","A/duck/China/E319-2/03","H5N1","Avian","ans","Domestic","duck","Asia","China","China","2003//",2003.45205479452
"H5N1_Avian_ans_Domestic_Africa_Cote dIvoire_A/duck/Cote d'Ivoire/1787-18/2006|2006.45205479452","H5N1_Avian_CY016807_A/duck/Cote d'Ivoire/1787-18/2006_Cote dIvoire_2006//_8 (NS)",8,"CY016807","A/duck/Cote d'Ivoire/1787-18/2006","H5N1","Avian","ans","Domestic","duck","Africa","Cote dIvoire","Cote d'Ivoire","2006//",2006.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Eastern China/108/2008|2008.95342465753","H5N1_Avian_GU727673_A/duck/Eastern China/108/2008_China_2008/12/15_8 (NS)",8,"GU727673","A/duck/Eastern China/108/2008","H5N1","Avian","ans","Domestic","duck","Asia","China","Eastern China","2008/12/15",2008.95342465753
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Eastern China/909/2009|2009.03835616438","H5N1_Avian_GU727681_A/duck/Eastern China/909/2009_China_2009/01/15_8 (NS)",8,"GU727681","A/duck/Eastern China/909/2009","H5N1","Avian","ans","Domestic","duck","Asia","China","Eastern China","2009/01/15",2009.03835616438
"H5N1_Avian_ans_Domestic_Africa_Egypt_A/duck/Egypt/2253-3/2006|2006.45205479452","H5N1_Avian_CY016903_A/duck/Egypt/2253-3/2006_Egypt_2006//_8 (NS)",8,"CY016903","A/duck/Egypt/2253-3/2006","H5N1","Avian","ans","Domestic","duck","Africa","Egypt","Egypt","2006//",2006.45205479452
"H5N1_Avian_ans_Domestic_Africa_Egypt_A/duck/Egypt/D2br10/2007|2007.03835616438","H5N1_Avian_AB465628_A/duck/Egypt/D2br10/2007_Egypt_2007/01/_8 (NS)",8,"AB465628","A/duck/Egypt/D2br10/2007","H5N1","Avian","ans","Domestic","duck","Africa","Egypt","Egypt","2007/01/",2007.03835616438
"H5N1_Avian_ans_Domestic_Africa_Egypt_A/duck/Egypt/0871/2008|2008.13698630137","H5N1_Avian_CY044044_A/duck/Egypt/0871/2008_Egypt_2008/02/20_8 (NS)",8,"CY044044","A/duck/Egypt/0871/2008","H5N1","Avian","ans","Domestic","duck","Africa","Egypt","Egypt","2008/02/20",2008.13698630137
"H5N1_Avian_ans_Domestic_Africa_Egypt_A/duck/El Fayoum/CAI1/2010|2010.16164383562","H5N1_Avian_CY126100_A/duck/El Fayoum/CAI1/2010_Egypt_2010/03/01_8 (NS)",8,"CY126100","A/duck/El Fayoum/CAI1/2010","H5N1","Avian","ans","Domestic","duck","Africa","Egypt","El Fayoum","2010/03/01",2010.16164383562
"H5N1_Avian_ans_Domestic_Europe_France_A/duck/France/05066b/2005|2005.45205479452","H5N1_Avian_CY046138_A/duck/France/05066b/2005_France_2005//_8 (NS)",8,"CY046138","A/duck/France/05066b/2005","H5N1","Avian","ans","Domestic","duck","Europe","France","France","2005//",2005.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/goose/Fujian/bb/2003|2003.45205479452","H5N1_Avian_DQ997408_A/goose/Fujian/bb/2003_China_2003//_8 (NS)",8,"DQ997408","A/goose/Fujian/bb/2003","H5N1","Avian","ans","Domestic","goose","Asia","China","Fujian","2003//",2003.45205479452
"H5N1_Avian_ans_Domestic_Europe_Germany_A/domestic duck/Germany/R1779/2007|2007.45205479452","H5N1_Avian_AM914025_A/domestic duck/Germany/R1779/2007_Germany_2007//_8 (NS)",8,"AM914025","A/domestic duck/Germany/R1779/2007","H5N1","Avian","ans","Domestic","domestic duck","Europe","Germany","Germany","2007//",2007.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/goose/Guangdong/1/1996|1996.45205479452","H5N1_Avian_AF144307_A/goose/Guangdong/1/1996_China_1996//_8 (NS)",8,"AF144307","A/goose/Guangdong/1/1996","H5N1","Avian","ans","Domestic","goose","Asia","China","Guangdong","1996//",1996.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/goose/Guangdong/3/1997|1997.45205479452","H5N1_Avian_AY028445_A/goose/Guangdong/3/1997_China_1997//_8 (NS)",8,"AY028445","A/goose/Guangdong/3/1997","H5N1","Avian","ans","Domestic","goose","Asia","China","Guangdong","1997//",1997.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/goose/Guangdong/xb/2001|2001.45205479452","H5N1_Avian_DQ997525_A/goose/Guangdong/xb/2001_China_2001//_8 (NS)",8,"DQ997525","A/goose/Guangdong/xb/2001","H5N1","Avian","ans","Domestic","goose","Asia","China","Guangdong","2001//",2001.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Guangdong/173/04|2004.45205479452","H5N1_Avian_AY737307_A/duck/Guangdong/173/04_China_2004//_8 (NS)",8,"AY737307","A/duck/Guangdong/173/04","H5N1","Avian","ans","Domestic","duck","Asia","China","Guangdong","2004//",2004.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Guangxi/xa/2001|2001.45205479452","H5N1_Avian_DQ997516_A/duck/Guangxi/xa/2001_China_2001//_8 (NS)",8,"DQ997516","A/duck/Guangxi/xa/2001","H5N1","Avian","ans","Domestic","duck","Asia","China","Guangxi","2001//",2001.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Guangxi/12/2003|2003.45205479452","H5N1_Avian_EU263349_A/duck/Guangxi/12/2003_China_2003//_8 (NS)",8,"EU263349","A/duck/Guangxi/12/2003","H5N1","Avian","ans","Domestic","duck","Asia","China","Guangxi","2003//",2003.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Guangxi/13/2004|2004.45205479452","H5N1_Avian_DQ366342_A/duck/Guangxi/13/2004_China_2004//_8 (NS)",8,"DQ366342","A/duck/Guangxi/13/2004","H5N1","Avian","ans","Domestic","duck","Asia","China","Guangxi","2004//",2004.45205479452
"H5N1_Avian_ans_Domestic_Asia_Hong Kong_A/Duck/Hong Kong/380.5/2001|2001.45205479452","H5N1_Avian_AY075036_A/Duck/Hong Kong/380.5/2001_Hong Kong_2001//_8 (NS)",8,"AY075036","A/Duck/Hong Kong/380.5/2001","H5N1","Avian","ans","Domestic","Duck","Asia","Hong Kong","Hong Kong","2001//",2001.45205479452
"H5N1_Avian_ans_Domestic_Asia_Hong Kong_A/duck/Hong Kong/821/2002|2002.45205479452","H5N1_Avian_AY676049_A/duck/Hong Kong/821/2002_Hong Kong_2002//_8 (NS)",8,"AY676049","A/duck/Hong Kong/821/2002","H5N1","Avian","ans","Domestic","duck","Asia","Hong Kong","Hong Kong","2002//",2002.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Hubei/wp/2003|2003.45205479452","H5N1_Avian_DQ997166_A/duck/Hubei/wp/2003_China_2003//_8 (NS)",8,"DQ997166","A/duck/Hubei/wp/2003","H5N1","Avian","ans","Domestic","duck","Asia","China","Hubei","2003//",2003.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Hubei/49/2005|2005.45205479452","H5N1_Avian_HM172263_A/duck/Hubei/49/2005_China_2005//_8 (NS)",8,"HM172263","A/duck/Hubei/49/2005","H5N1","Avian","ans","Domestic","duck","Asia","China","Hubei","2005//",2005.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Hubei/Hangmei01/2006|2006.45205479452","H5N1_Avian_EU594353_A/duck/Hubei/Hangmei01/2006_China_2006//_8 (NS)",8,"EU594353","A/duck/Hubei/Hangmei01/2006","H5N1","Avian","ans","Domestic","duck","Asia","China","Hubei","2006//",2006.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Hubei/2911/2007|2007.07671232877","H5N1_Avian_FJ784868_A/duck/Hubei/2911/2007_China_2007/01/29_8 (NS)",8,"FJ784868","A/duck/Hubei/2911/2007","H5N1","Avian","ans","Domestic","duck","Asia","China","Hubei","2007/01/29",2007.07671232877
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Hunan/69/2004|2004.45205479452","H5N1_Avian_HM172307_A/duck/Hunan/69/2004_China_2004//_8 (NS)",8,"HM172307","A/duck/Hunan/69/2004","H5N1","Avian","ans","Domestic","duck","Asia","China","Hunan","2004//",2004.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/domestic green-winged teal/Hunan/67/2005|2005.45205479452","H5N1_Avian_EU430503_A/domestic green-winged teal/Hunan/67/2005_China_2005//_8 (NS)",8,"EU430503","A/domestic green-winged teal/Hunan/67/2005","H5N1","Avian","ans","Domestic","domestic green-winged teal","Asia","China","Hunan","2005//",2005.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/domestic green-winged teal/Hunan/3450/2006|2006.20273972603","H5N1_Avian_KC690160_A/domestic green-winged teal/Hunan/3450/2006_China_2006/03/16_8 (NS)",8,"KC690160","A/domestic green-winged teal/Hunan/3450/2006","H5N1","Avian","ans","Domestic","domestic green-winged teal","Asia","China","Hunan","2006/03/16",2006.20273972603
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Hunan/3/2007|2007.78630136986","H5N1_Avian_GU182154_A/duck/Hunan/3/2007_China_2007/10/_8 (NS)",8,"GU182154","A/duck/Hunan/3/2007","H5N1","Avian","ans","Domestic","duck","Asia","China","Hunan","2007/10/",2007.78630136986
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Hunan/8/2008|2008.87123287671","H5N1_Avian_GU182170_A/duck/Hunan/8/2008_China_2008/11/_8 (NS)",8,"GU182170","A/duck/Hunan/8/2008","H5N1","Avian","ans","Domestic","duck","Asia","China","Hunan","2008/11/",2008.87123287671
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Hunan/S4030/2011|2011.85479452055","H5N1_Avian_CY146648_A/duck/Hunan/S4030/2011_China_2011/11/09_8 (NS)",8,"CY146648","A/duck/Hunan/S4030/2011","H5N1","Avian","ans","Domestic","duck","Asia","China","Hunan","2011/11/09",2011.85479452055
"H5N1_Avian_ans_Domestic_Europe_Hungary_A/goose/Hungary/14756/2006|2006.42739726027","H5N1_Avian_FJ445246_A/goose/Hungary/14756/2006_Hungary_2006/06/06_8 (NS)",8,"FJ445246","A/goose/Hungary/14756/2006","H5N1","Avian","ans","Domestic","goose","Europe","Hungary","Hungary","2006/06/06",2006.42739726027
"H5N1_Avian_ans_Domestic_Asia_India_A/duck/Tripura/103597/2008|2008.28493150685","H5N1_Avian_GU252826_A/duck/Tripura/103597/2008_India_2008/04/_8 (NS)",8,"GU252826","A/duck/Tripura/103597/2008","H5N1","Avian","ans","Domestic","duck","Asia","India","Tripura","2008/04/",2008.28493150685
"H5N1_Avian_ans_Domestic_Asia_Indonesia_A/duck/East Java/UT1107/2004|2004.64657534247","H5N1_Avian_GQ122464_A/duck/East Java/UT1107/2004_Indonesia_2004/08/25_8 (NS)",8,"GQ122464","A/duck/East Java/UT1107/2004","H5N1","Avian","ans","Domestic","duck","Asia","Indonesia","East Java","2004/08/25",2004.64657534247
"H5N1_Avian_ans_Domestic_Asia_Japan_A/duck/Yokohama/aq10/2003|2003.45205479452","H5N1_Avian_AB212284_A/duck/Yokohama/aq10/2003_Japan_2003//_8 (NS)",8,"AB212284","A/duck/Yokohama/aq10/2003","H5N1","Avian","ans","Domestic","duck","Asia","Japan","Yokohama","2003//",2003.45205479452
"H5N1_Avian_ans_Domestic_Asia_Japan_A/duck/Hokkaido/WZ101/2010|2010.78356164384","H5N1_Avian_AB612913_A/duck/Hokkaido/WZ101/2010_Japan_2010/10/14_8 (NS)",8,"AB612913","A/duck/Hokkaido/WZ101/2010","H5N1","Avian","ans","Domestic","duck","Asia","Japan","Hokkaido","2010/10/14",2010.78356164384
"H5N1_Avian_ans_Domestic_Asia_China_A/goose/Jiangsu/k0403/2010|2010.1095890411","H5N1_Avian_JQ638682_A/goose/Jiangsu/k0403/2010_China_2010/02/10_8 (NS)",8,"JQ638682","A/goose/Jiangsu/k0403/2010","H5N1","Avian","ans","Domestic","goose","Asia","China","Jiangsu","2010/02/10",2010.1095890411
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Jiangxi/80/2005|2005.45205479452","H5N1_Avian_HM172290_A/duck/Jiangxi/80/2005_China_2005//_8 (NS)",8,"HM172290","A/duck/Jiangxi/80/2005","H5N1","Avian","ans","Domestic","duck","Asia","China","Jiangxi","2005//",2005.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/goose/Jilin/hb/2003|2003.45205479452","H5N1_Avian_DQ997279_A/goose/Jilin/hb/2003_China_2003//_8 (NS)",8,"DQ997279","A/goose/Jilin/hb/2003","H5N1","Avian","ans","Domestic","goose","Asia","China","Jilin","2003//",2003.45205479452
"H5N1_Avian_ans_Domestic_Asia_Russia_A/goose/Krasnoozerskoye/627/2005|2005.45205479452","H5N1_Avian_EF205185_A/goose/Krasnoozerskoye/627/2005_Russia_2005//_8 (NS)",8,"EF205185","A/goose/Krasnoozerskoye/627/2005","H5N1","Avian","ans","Domestic","goose","Asia","Russia","Krasnoozerskoye","2005//",2005.45205479452
"H5N1_Avian_ans_Domestic_Asia_Russia_A/duck/Kurgan/08/2005|2005.45205479452","H5N1_Avian_DQ449644_A/duck/Kurgan/08/2005_Russia_2005//_8 (NS)",8,"DQ449644","A/duck/Kurgan/08/2005","H5N1","Avian","ans","Domestic","duck","Asia","Russia","Kurgan","2005//",2005.45205479452
"H5N1_Avian_ans_Domestic_Asia_Laos_A/duck/Laos/25/2006|2006.45205479452","H5N1_Avian_CY041042_A/duck/Laos/25/2006_Laos_2006//_8 (NS)",8,"CY041042","A/duck/Laos/25/2006","H5N1","Avian","ans","Domestic","duck","Asia","Laos","Laos","2006//",2006.45205479452
"H5N1_Avian_ans_Domestic_Asia_Laos_A/duck/Laos/P0127/2007|2007.45205479452","H5N1_Avian_CY040914_A/duck/Laos/P0127/2007_Laos_2007//_8 (NS)",8,"CY040914","A/duck/Laos/P0127/2007","H5N1","Avian","ans","Domestic","duck","Asia","Laos","Laos","2007//",2007.45205479452
"H5N1_Avian_ans_Domestic_Asia_Laos_A/duck/Lao/9/2010|2010.2","H5N1_Avian_CY098329_A/duck/Lao/9/2010_Laos_2010/03/_8 (NS)",8,"CY098329","A/duck/Lao/9/2010","H5N1","Avian","ans","Domestic","duck","Asia","Laos","Lao","2010/03/",2010.2
"H5N1_Avian_ans_Domestic_Africa_Niger_A/duck/Niger/914/2006|2006.45205479452","H5N1_Avian_CY017031_A/duck/Niger/914/2006_Niger_2006//_8 (NS)",8,"CY017031","A/duck/Niger/914/2006","H5N1","Avian","ans","Domestic","duck","Africa","Niger","Niger","2006//",2006.45205479452
"H5N1_Avian_ans_Domestic_Asia_Russia_A/duck/Novosibirsk/56/2005|2005.45205479452","H5N1_Avian_DQ234074_A/duck/Novosibirsk/56/2005_Russia_2005//_8 (NS)",8,"DQ234074","A/duck/Novosibirsk/56/2005","H5N1","Avian","ans","Domestic","duck","Asia","Russia","Novosibirsk","2005//",2005.45205479452
"H5N1_Avian_ans_Domestic_Asia_Russia_A/duck/Omsk/1822/2006|2006.53424657534","H5N1_Avian_CY047479_A/duck/Omsk/1822/2006_Russia_2006/07/_8 (NS)",8,"CY047479","A/duck/Omsk/1822/2006","H5N1","Avian","ans","Domestic","duck","Asia","Russia","Omsk","2006/07/",2006.53424657534
"H5N1_Avian_ans_Domestic_Asia_Russia_A/muscovy duck/Rostov-on-Don/51/2007|2007.95342465753","H5N1_Avian_EU441926_A/muscovy duck/Rostov-on-Don/51/2007_Russia_2007/12/15_8 (NS)",8,"EU441926","A/muscovy duck/Rostov-on-Don/51/2007","H5N1","Avian","ans","Domestic","muscovy duck","Asia","Russia","Rostov-on-Don","2007/12/15",2007.95342465753
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Shandong/093/2004|2004.45205479452","H5N1_Avian_AY856866_A/duck/Shandong/093/2004_China_2004//_8 (NS)",8,"AY856866","A/duck/Shandong/093/2004","H5N1","Avian","ans","Domestic","duck","Asia","China","Shandong","2004//",2004.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Shandong/009/2008|2008.95342465753","H5N1_Avian_GU596988_A/duck/Shandong/009/2008_China_2008/12/15_8 (NS)",8,"GU596988","A/duck/Shandong/009/2008","H5N1","Avian","ans","Domestic","duck","Asia","China","Shandong","2008/12/15",2008.95342465753
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Shanghai/xj/2002|2002.45205479452","H5N1_Avian_DQ997534_A/duck/Shanghai/xj/2002_China_2002//_8 (NS)",8,"DQ997534","A/duck/Shanghai/xj/2002","H5N1","Avian","ans","Domestic","duck","Asia","China","Shanghai","2002//",2002.45205479452
"H5N1_Avian_ans_Domestic_Asia_South Korea_A/duck/Korea/ESD1/03|2003.45205479452","H5N1_Avian_AY676052_A/duck/Korea/ESD1/03_South Korea_2003//_8 (NS)",8,"AY676052","A/duck/Korea/ESD1/03","H5N1","Avian","ans","Domestic","duck","Asia","South Korea","Korea","2003//",2003.45205479452
"H5N1_Avian_ans_Domestic_Asia_Russia_A/goose/Suzdalka/10/05|2005.45205479452","H5N1_Avian_EF205184_A/goose/Suzdalka/10/05_Russia_2005//_8 (NS)",8,"EF205184","A/goose/Suzdalka/10/05","H5N1","Avian","ans","Domestic","goose","Asia","Russia","Suzdalka","2005//",2005.45205479452
"H5N1_Avian_ans_Domestic_Asia_Thailand_A/duck/Ang Thong/71(2)/2004|2004.45205479452","H5N1_Avian_GU186652_A/duck/Ang Thong/71(2)/2004_Thailand_2004//_8 (NS)",8,"GU186652","A/duck/Ang Thong/71(2)/2004","H5N1","Avian","ans","Domestic","duck","Asia","Thailand","Ang Thong","2004//",2004.45205479452
"H5N1_Avian_ans_Domestic_Asia_Thailand_A/duck/Thailand/TS04/2006|2006.45205479452","H5N1_Avian_JQ794474_A/duck/Thailand/TS04/2006_Thailand_2006//_8 (NS)",8,"JQ794474","A/duck/Thailand/TS04/2006","H5N1","Avian","ans","Domestic","duck","Asia","Thailand","Thailand","2006//",2006.45205479452
"H5N1_Avian_ans_Domestic_Asia_Viet Nam_A/duck/Vietnam/942B/2004|2004.45205479452","H5N1_Avian_CY033181_A/duck/Vietnam/942B/2004_Viet Nam_2004//_8 (NS)",8,"CY033181","A/duck/Vietnam/942B/2004","H5N1","Avian","ans","Domestic","duck","Asia","Viet Nam","Vietnam","2004//",2004.45205479452
"H5N1_Avian_ans_Domestic_Asia_Viet Nam_A/duck/Vietnam/1/2005|2005.45205479452","H5N1_Avian_CY016831_A/duck/Vietnam/1/2005_Viet Nam_2005//_8 (NS)",8,"CY016831","A/duck/Vietnam/1/2005","H5N1","Avian","ans","Domestic","duck","Asia","Viet Nam","Vietnam","2005//",2005.45205479452
"H5N1_Avian_ans_Domestic_Asia_Viet Nam_A/Muscovy duck/Ca Mau/1185/2006|2006.98904109589","H5N1_Avian_JX420226_A/Muscovy duck/Ca Mau/1185/2006_Viet Nam_2006/12/28_8 (NS)",8,"JX420226","A/Muscovy duck/Ca Mau/1185/2006","H5N1","Avian","ans","Domestic","Muscovy duck","Asia","Viet Nam","Ca Mau","2006/12/28",2006.98904109589
"H5N1_Avian_ans_Domestic_Asia_Viet Nam_A/Muscovy duck/Ca Mau/07-04/2007|2007.45205479452","H5N1_Avian_GU186749_A/Muscovy duck/Ca Mau/07-04/2007_Viet Nam_2007//_8 (NS)",8,"GU186749","A/Muscovy duck/Ca Mau/07-04/2007","H5N1","Avian","ans","Domestic","Muscovy duck","Asia","Viet Nam","Ca Mau","2007//",2007.45205479452
"H5N1_Avian_ans_Domestic_Asia_Viet Nam_A/duck/Vietnam/G12/2008|2008.03835616438","H5N1_Avian_AB593451_A/duck/Vietnam/G12/2008_Viet Nam_2008/01/_8 (NS)",8,"AB593451","A/duck/Vietnam/G12/2008","H5N1","Avian","ans","Domestic","duck","Asia","Viet Nam","Vietnam","2008/01/",2008.03835616438
"H5N1_Avian_ans_Domestic_Asia_Viet Nam_A/muscovy duck/Vietnam/OIE-559/2011|2011.45205479452","H5N1_Avian_AB636528_A/muscovy duck/Vietnam/OIE-559/2011_Viet Nam_2011/06/_8 (NS)",8,"AB636528","A/muscovy duck/Vietnam/OIE-559/2011","H5N1","Avian","ans","Domestic","muscovy duck","Asia","Viet Nam","Vietnam","2011/06/",2011.45205479452
"H5N1_Avian_ans_Domestic_Asia_Viet Nam_A/duck/Soc Trang/8/2012|2012.66301369863","H5N1_Avian_AB819041_A/duck/Soc Trang/8/2012_Viet Nam_2012/08/31_8 (NS)",8,"AB819041","A/duck/Soc Trang/8/2012","H5N1","Avian","ans","Domestic","duck","Asia","Viet Nam","Soc Trang","2012/08/31",2012.66301369863
