"SequenceName"	"LOCUS"	"LENGTH"	"RECORD_DATE"	"host"	"country"	"collection_date"	"serotype"	"isolate"	"strain"	"segment"	"gene"	"product"	"codon_start"	"note"	"COMPLEMENT"	"position"	"segAssign"
"Cattle|Netherlands|2011|F6|2011|2011.4521"	"KC355458"	4373	"01-SEP-2013"	"Bos taurus"	"Netherlands"	"2011"	-1	"F6"	"-1"	"M"	"M"	"M polyprotein"	1	"-1"	FALSE	"24..4235"	2
"Sheep|Netherlands|2011|HL1|2011|2011.4521"	"KC355455"	4373	"01-SEP-2013"	"Ovis aries"	"Netherlands"	"2011"	-1	"HL1"	"-1"	"M"	"M"	"M polyprotein"	1	"-1"	FALSE	"24..4235"	2
"Sheep|Belgium|2012|Na2-BHK21-P10|Jan-2012|2012.0384"	"KC139374"	4373	"22-MAY-2013"	"sheep"	"Belgium"	"Jan-2012"	-1	"Na2-BHK21-P10"	"Na2"	"M"	"-1"	"M polyprotein"	1	"-1"	FALSE	"24..4235"	2
"Sheep|Belgium|2012|Na2-BHK21-P2|Jan-2012|2012.0384"	"KC139373"	4373	"22-MAY-2013"	"sheep"	"Belgium"	"Jan-2012"	-1	"Na2-BHK21-P2"	"Na2"	"M"	"-1"	"M polyprotein"	1	"-1"	FALSE	"24..4235"	2
"Sheep|Belgium|2012|Na2-CNS|Jan-2012|2012.0384"	"KC139372"	4373	"22-MAY-2013"	"sheep"	"Belgium"	"Jan-2012"	-1	"Na2-CNS"	"Na2"	"M"	"-1"	"M polyprotein"	1	"-1"	FALSE	"24..4235"	2
"Sheep|Belgium|2012|Na1-BHK21-P10|Jan-2012|2012.0384"	"KC139370"	4373	"22-MAY-2013"	"sheep"	"Belgium"	"Jan-2012"	-1	"Na1-BHK21-P10"	"Na1"	"M"	"-1"	"M polyprotein"	1	"-1"	FALSE	"24..4235"	2
"Sheep|Belgium|2012|Na1-BHK21-P2|Jan-2012|2012.0384"	"KC139369"	4373	"22-MAY-2013"	"sheep"	"Belgium"	"Jan-2012"	-1	"Na1-BHK21-P2"	"Na1"	"M"	"-1"	"M polyprotein"	1	"-1"	FALSE	"24..4235"	2
"Sheep|Belgium|2012|Na1-CNS|Jan-2012|2012.0384"	"KC139368"	4373	"22-MAY-2013"	"sheep"	"Belgium"	"Jan-2012"	-1	"Na1-CNS"	"Na1"	"M"	"-1"	"M polyprotein"	1	"-1"	FALSE	"24..4235"	2
"Cattle|Germany|2012|BH652/12-1|Oct-2012|2012.7863"	"KC108887"	4212	"22-MAY-2013"	"Bos taurus"	"Germany: Schleswig-Holstein"	"Oct-2012"	-1	"BH652/12-1"	"-1"	"M"	"M"	"M polyprotein"	1	"-1"	FALSE	"1..4212"	2
"Cattle|Germany|2012|BH635/12-2|Aug-2012|2012.6192"	"KC108885"	4212	"22-MAY-2013"	"Bos taurus"	"Germany: Rhineland-Palatinate"	"Aug-2012"	-1	"BH635/12-2"	"-1"	"M"	"M"	"M polyprotein"	1	"-1"	FALSE	"1..4212"	2
"Sheep|Germany|2012|BH619/12-1|Sep-2012|2012.7041"	"KC108883"	4212	"22-MAY-2013"	"Ovis orientalis aries"	"Germany: Thuringia"	"Sep-2012"	-1	"BH619/12-1"	"-1"	"M"	"M"	"M polyprotein"	1	"-1"	FALSE	"1..4212"	2
"Sheep|Germany|2012|BH336/12-3|Mar-2012|2012.2000"	"KC108881"	4206	"22-MAY-2013"	"Ovis orientalis aries"	"Germany: Saxony"	"Mar-2012"	-1	"BH336/12-3"	"-1"	"M"	"M"	"M polyprotein"	1	"-1"	FALSE	"1..4206"	2
