"SequenceName"	"LOCUS"	"LENGTH"	"RECORD_DATE"	"host"	"country"	"collection_date"	"serotype"	"isolate"	"strain"	"segment"	"gene"	"product"	"codon_start"	"note"	"COMPLEMENT"	"position"	"regAssign"
"cattle|Benin|2010|A/BEN/36/2010|11-Aug-2010|2010.6082"	"KC832972"	" 636"	"19-MAY-2014"	"cattle"	"Benin: Alibori, Gogounou"	"11-Aug-2010"	"A"	"A/BEN/36/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>636"	"1"
"cattle|Benin|2010|A/BEN/35/2010|29-Jul-2010|2010.5726"	"KC832971"	" 636"	"19-MAY-2014"	"cattle"	"Benin: Alibori, Banikoara"	"29-Jul-2010"	"A"	"A/BEN/35/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>636"	"1"
"cattle|Benin|2010|A/BEN/24/2010|11-Aug-2010|2010.6082"	"KC832970"	" 636"	"19-MAY-2014"	"cattle"	"Benin: Alibori, Gogounou"	"11-Aug-2010"	"A"	"A/BEN/24/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>636"	"1"
"cattle|Benin|2010|A/BEN/23/2010|10-Aug-2010|2010.6055"	"KC832969"	" 636"	"19-MAY-2014"	"cattle"	"Benin: Borgou, Nikki"	"10-Aug-2010"	"A"	"A/BEN/23/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>636"	"1"
"cattle|Benin|2010|A/BEN/19/2010|24-Jul-2010|2010.5589"	"KC832968"	" 636"	"19-MAY-2014"	"cattle"	"Benin: Borgou, Bembereke"	"24-Jul-2010"	"A"	"A/BEN/19/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>636"	"1"
"cattle|Benin|2010|A/BEN/18/2010|06-Aug-2010|2010.5945"	"KC832967"	" 636"	"19-MAY-2014"	"cattle"	"Benin: Borgou, Kalale"	"06-Aug-2010"	"A"	"A/BEN/18/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>636"	"1"
"cattle|Kenya|2013|K3/13|2013|2013.4521"	"KJ440876"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Thika East"	"2013"	"A"	"K3/13"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|2012|K154/12|2012|2012.4521"	"KJ440875"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Koibatek"	"2012"	"A"	"K154/12"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|2012|K148/12|2012|2012.4521"	"KJ440874"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Nakuru North"	"2012"	"A"	"K148/12"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|2012|K143/12|2012|2012.4521"	"KJ440873"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Naivasha"	"2012"	"A"	"K143/12"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|2012|K138/12|2012|2012.4521"	"KJ440872"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Gilgil"	"2012"	"A"	"K138/12"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|2009|K63/09|2009|2009.4521"	"KJ440871"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Narok South"	"2009"	"A"	"K63/09"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|2008|K73/08|2008|2008.4521"	"KJ440870"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Loitoktok"	"2008"	"A"	"K73/08"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|2005|K44/05|2005|2005.4521"	"KJ440869"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Nakuru"	"2005"	"A"	"K44/05"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|2003|K129/03|2003|2003.4521"	"KJ440868"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Kajiado"	"2003"	"A"	"K129/03"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|2001|K60/01|2001|2001.4521"	"KJ440867"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Nairobi"	"2001"	"A"	"K60/01"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|2001|K73/01|2001|2001.4521"	"KJ440866"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Meru Central"	"2001"	"A"	"K73/01"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1997|K1/97|1997|1997.4521"	"KJ440865"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Meru North"	"1997"	"A"	"K1/97"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1995|K64/95|1995|1995.4521"	"KJ440864"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Garissa"	"1995"	"A"	"K64/95"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1994|K9/94|1994|1994.4521"	"KJ440863"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Narok"	"1994"	"A"	"K9/94"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1992|K15/92|1992|1992.4521"	"KJ440862"	" 636"	"29-APR-2014"	"cattle"	"Kenya: Kakamega"	"1992"	"A"	"K15/92"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>636"	"1"
"cattle|Kenya|1992|K11/92|1992|1992.4521"	"KJ440861"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Meru North"	"1992"	"A"	"K11/92"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1991|K87/91|1991|1991.4521"	"KJ440860"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Meru North"	"1991"	"A"	"K87/91"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1985|K83/85|1985|1985.4521"	"KJ440859"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Mombasa"	"1985"	"A"	"K83/85"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1985|K67/85|1985|1985.4521"	"KJ440858"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Isiolo"	"1985"	"A"	"K67/85"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1984|K49/84|1984|1984.4521"	"KJ440857"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Narok"	"1984"	"A"	"K49/84"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1984|K36/84|1984|1984.4521"	"KJ440856"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Meru Central"	"1984"	"A"	"K36/84"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1983|K293/83|1983|1983.4521"	"KJ440855"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Taita Taveta"	"1983"	"A"	"K293/83"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1983|K288/83|1983|1983.4521"	"KJ440854"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Kericho"	"1983"	"A"	"K288/83"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1981|K51/81|1981|1981.4521"	"KJ440853"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Kwale"	"1981"	"A"	"K51/81"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1981|K48/81|1981|1981.4521"	"KJ440852"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Kilifi"	"1981"	"A"	"K48/81"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1981|K7/81|1981|1981.4521"	"KJ440851"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Teso"	"1981"	"A"	"K7/81"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1981|K4/81|1981|1981.4521"	"KJ440850"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Bungoma"	"1981"	"A"	"K4/81"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1981|K50/81|1981|1981.4521"	"KJ440849"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Trans Nzoia"	"1981"	"A"	"K50/81"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1980|K5/80|1980|1980.4521"	"KJ440848"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Kajiado"	"1980"	"A"	"K5/80"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1980|K16/80|1980|1980.4521"	"KJ440847"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Kajiado"	"1980"	"A"	"K16/80"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1980|K35/80|1980|1980.4521"	"KJ440846"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Embu"	"1980"	"A"	"K35/80"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1980|K158/80|1980|1980.4521"	"KJ440845"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Laikipia"	"1980"	"A"	"K158/80"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1979|K151/79|1979|1979.4521"	"KJ440844"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Thika"	"1979"	"A"	"K151/79"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1979|K131/79|1979|1979.4521"	"KJ440843"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Kiambu"	"1979"	"A"	"K131/79"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1978|K61/78|1978|1978.4521"	"KJ440842"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Kajiado"	"1978"	"A"	"K61/78"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1978|K28/78|1978|1978.4521"	"KJ440841"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Meru Central"	"1978"	"A"	"K28/78"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"cattle|Kenya|1971|K179/71|1971|1971.4521"	"KJ440840"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Kajiado"	"1971"	"A"	"K179/71"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
