"LOCUS"	"LENGTH"	"RECORD_DATE"	"host"	"country"	"collection_date"	"serotype"	"isolate"	"strain"	"segment"	"gene"	"product"	"codon_start"	"note"	"COMPLEMENT"	"position"	"regAssign"
"KC832987"	" 639"	"19-MAY-2014"	"cattle"	"Benin: Borgou, Sinende (Guessou-Bani)"	"30-Jul-2010"	"O"	"O/BEN/42/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>639"	"1"
"KC832986"	" 639"	"19-MAY-2014"	"cattle"	"Benin: Atacora, Toucountouna"	"26-Jun-2010"	"O"	"O/BEN/40/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>639"	"1"
"KC832985"	" 639"	"19-MAY-2014"	"cattle"	"Benin: Borgou, Parakou"	"01-Aug-2010"	"O"	"O/BEN/33/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>639"	"1"
"KC832984"	" 639"	"19-MAY-2014"	"cattle"	"Benin: Borgou, Parakou"	"01-Aug-2010"	"O"	"O/BEN/32/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>639"	"1"
"KC832983"	" 639"	"19-MAY-2014"	"cattle"	"Benin: Borgou, Parakou"	"01-Aug-2010"	"O"	"O/BEN/30/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>639"	"1"
"KC832982"	" 639"	"19-MAY-2014"	"cattle"	"Benin: Borgou, Kalale"	"06-Aug-2010"	"O"	"O/BEN/28/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>639"	"1"
"KC832981"	" 639"	"19-MAY-2014"	"cattle"	"Benin: Atacora, Cobly"	"10-Jun-2010"	"O"	"O/BEN/26/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>639"	"1"
"KC832980"	" 639"	"19-MAY-2014"	"cattle"	"Benin: Borgou, Kalale"	"06-Aug-2010"	"O"	"O/BEN/25/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>639"	"1"
"KC832979"	" 639"	"19-MAY-2014"	"cattle"	"Benin: Borgou, Bembereke"	"05-Aug-2010"	"O"	"O/BEN/22/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>639"	"1"
"KC832978"	" 639"	"19-MAY-2014"	"cattle"	"Benin: Borgou, Bembereke"	"05-Aug-2010"	"O"	"O/BEN/21/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>639"	"1"
"KC832977"	" 639"	"19-MAY-2014"	"cattle"	"Benin: Borgou, Doube N'Dali"	"18-Aug-2010"	"O"	"O/BEN/20/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>639"	"1"
"KC832976"	" 639"	"19-MAY-2014"	"cattle"	"Benin: Borgou, Bembereke"	"05-Aug-2010"	"O"	"O/BEN/14/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>639"	"1"
"KC832975"	" 639"	"19-MAY-2014"	"cattle"	"Benin: Borgou, Parakou"	"26-Jul-2010"	"O"	"O/BEN/9/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>639"	"1"
"KC832974"	" 639"	"19-MAY-2014"	"cattle"	"Benin: Borgou, Parakou"	"26-Jul-2010"	"O"	"O/BEN/2/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>639"	"1"
"KC832973"	" 639"	"19-MAY-2014"	"cattle"	"Benin: Borgou, Parakou"	"26-Jul-2010"	"O"	"O/BEN/1/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>639"	"1"
"KC832972"	" 636"	"19-MAY-2014"	"cattle"	"Benin: Alibori, Gogounou"	"11-Aug-2010"	"A"	"A/BEN/36/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>636"	"1"
"KC832971"	" 636"	"19-MAY-2014"	"cattle"	"Benin: Alibori, Banikoara"	"29-Jul-2010"	"A"	"A/BEN/35/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>636"	"1"
"KC832970"	" 636"	"19-MAY-2014"	"cattle"	"Benin: Alibori, Gogounou"	"11-Aug-2010"	"A"	"A/BEN/24/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>636"	"1"
"KC832969"	" 636"	"19-MAY-2014"	"cattle"	"Benin: Borgou, Nikki"	"10-Aug-2010"	"A"	"A/BEN/23/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>636"	"1"
"KC832968"	" 636"	"19-MAY-2014"	"cattle"	"Benin: Borgou, Bembereke"	"24-Jul-2010"	"A"	"A/BEN/19/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>636"	"1"
"KC832967"	" 636"	"19-MAY-2014"	"cattle"	"Benin: Borgou, Kalale"	"06-Aug-2010"	"A"	"A/BEN/18/2010"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>636"	"1"
"JX570637"	" 648"	"01-MAY-2014"	"cattle"	"Gaza Strip: Palestinian Autonomous Territories,"	"16-Apr-2012"	"SAT2"	"PAT/1/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570636"	" 648"	"01-MAY-2014"	"cattle"	"Nigeria"	"01-Sep-2007"	"SAT2"	"NIG/2/2007"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570635"	" 648"	"01-MAY-2014"	"cattle"	"Libya: Abu Attni, Benghazi, East Province"	"16-Feb-2012"	"SAT2"	"LIB/41/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570634"	" 648"	"01-MAY-2014"	"cattle"	"Libya: Abu Attni, Benghazi, East Province"	"16-Feb-2012"	"SAT2"	"LIB/40/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570633"	" 648"	"01-MAY-2014"	"cattle"	"Libya: Abu Attni, Benghazi, East Province"	"16-Feb-2012"	"SAT2"	"LIB/39/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570632"	" 648"	"01-MAY-2014"	"cattle"	"Libya: Zawiya, Zawiya District"	"09-Jun-2003"	"SAT2"	"LIB/7/2003"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570631"	" 648"	"01-MAY-2014"	"cattle"	"Libya: Sabratah, Zawiya District"	"04-Jun-2003"	"SAT2"	"LIB/1/2003"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
