"SequenceName"	"LOCUS"	"LENGTH"	"RECORD_DATE"	"host"	"country"	"collection_date"	"serotype"	"isolate"	"strain"	"segment"	"gene"	"product"	"codon_start"	"note"	"COMPLEMENT"	"position"	"segAssign"
"Cattle|Netherlands|2011|F6|2011|2011.4521"	"KC355459"	839	"01-SEP-2013"	"Bos taurus"	"Netherlands"	"2011"	-1	"F6"	"-1"	"S"	"N"	"nucleocapsid protein"	1	"-1"	FALSE	"32..733"	1
"Sheep|Netherlands|2011|HL1|2011|2011.4521"	"KC355456"	839	"01-SEP-2013"	"Ovis aries"	"Netherlands"	"2011"	-1	"HL1"	"-1"	"S"	"N"	"nucleocapsid protein"	1	"-1"	FALSE	"32..733"	1
"Sheep|Belgium|2012|Na2-BHK21-P10|Jan-2012|2012.0384"	"KC139381"	839	"22-MAY-2013"	"sheep"	"Belgium"	"Jan-2012"	-1	"Na2-BHK21-P10"	"Na2"	"S"	"-1"	"N protein"	1	"-1"	FALSE	"32..733"	1
"Sheep|Belgium|2012|Na2-BHK21-P2|Jan-2012|2012.0384"	"KC139380"	839	"22-MAY-2013"	"sheep"	"Belgium"	"Jan-2012"	-1	"Na2-BHK21-P2"	"Na2"	"S"	"-1"	"N protein"	1	"-1"	FALSE	"32..733"	1
"Sheep|Belgium|2012|Na2-CNS|Jan-2012|2012.0384"	"KC139379"	839	"22-MAY-2013"	"sheep"	"Belgium"	"Jan-2012"	-1	"Na2-CNS"	"Na2"	"S"	"-1"	"N protein"	1	"-1"	FALSE	"32..733"	1
"Sheep|Belgium|2012|Na1-BHK21-P10|Jan-2012|2012.0384"	"KC139378"	839	"22-MAY-2013"	"sheep"	"Belgium"	"Jan-2012"	-1	"Na1-BHK21-P10"	"Na1"	"S"	"-1"	"N protein"	1	"-1"	FALSE	"32..733"	1
"Sheep|Belgium|2012|Na1-BHK21-P2|Jan-2012|2012.0384"	"KC139377"	839	"22-MAY-2013"	"sheep"	"Belgium"	"Jan-2012"	-1	"Na1-BHK21-P2"	"Na1"	"S"	"-1"	"N protein"	1	"-1"	FALSE	"32..733"	1
"Sheep|Belgium|2012|Na1-CNS|Jan-2012|2012.0384"	"KC139376"	839	"22-MAY-2013"	"sheep"	"Belgium"	"Jan-2012"	-1	"Na1-CNS"	"Na1"	"S"	"-1"	"N protein"	1	"-1"	FALSE	"32..733"	1
"Cattle|Germany|2012|BH652/12-1|Oct-2012|2012.7863"	"KC108886"	702	"22-MAY-2013"	"Bos taurus"	"Germany: Schleswig-Holstein"	"Oct-2012"	-1	"BH652/12-1"	"-1"	"S"	"N"	"nucleocapsid protein"	1	"-1"	FALSE	"1..702"	1
"Cattle|Germany|2012|BH635/12-2|Aug-2012|2012.6192"	"KC108884"	702	"22-MAY-2013"	"Bos taurus"	"Germany: Rhineland-Palatinate"	"Aug-2012"	-1	"BH635/12-2"	"-1"	"S"	"N"	"nucleocapsid protein"	1	"-1"	FALSE	"1..702"	1
