"SequenceName"	"LOCUS"	"LENGTH"	"RECORD_DATE"	"host"	"country"	"collection_date"	"serotype"	"isolate"	"strain"	"segment"	"gene"	"product"	"codon_start"	"note"	"COMPLEMENT"	"position"	"regAssign"
"cattle|GazaStrip|2012|PAT/1/2012|16-Apr-2012|2012.2877"	"JX570637"	" 648"	"01-MAY-2014"	"cattle"	"Gaza Strip: Palestinian Autonomous Territories,"	"16-Apr-2012"	"SAT2"	"PAT/1/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"cattle|Nigeria|2007|NIG/2/2007|01-Sep-2007|2007.6658"	"JX570636"	" 648"	"01-MAY-2014"	"cattle"	"Nigeria"	"01-Sep-2007"	"SAT2"	"NIG/2/2007"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"cattle|Libya|2012|LIB/41/2012|16-Feb-2012|2012.1260"	"JX570635"	" 648"	"01-MAY-2014"	"cattle"	"Libya: Abu Attni, Benghazi, East Province"	"16-Feb-2012"	"SAT2"	"LIB/41/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"cattle|Libya|2012|LIB/40/2012|16-Feb-2012|2012.1260"	"JX570634"	" 648"	"01-MAY-2014"	"cattle"	"Libya: Abu Attni, Benghazi, East Province"	"16-Feb-2012"	"SAT2"	"LIB/40/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"cattle|Libya|2012|LIB/39/2012|16-Feb-2012|2012.1260"	"JX570633"	" 648"	"01-MAY-2014"	"cattle"	"Libya: Abu Attni, Benghazi, East Province"	"16-Feb-2012"	"SAT2"	"LIB/39/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"cattle|Libya|2003|LIB/7/2003|09-Jun-2003|2003.4356"	"JX570632"	" 648"	"01-MAY-2014"	"cattle"	"Libya: Zawiya, Zawiya District"	"09-Jun-2003"	"SAT2"	"LIB/7/2003"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"cattle|Libya|2003|LIB/1/2003|04-Jun-2003|2003.4219"	"JX570631"	" 648"	"01-MAY-2014"	"cattle"	"Libya: Sabratah, Zawiya District"	"04-Jun-2003"	"SAT2"	"LIB/1/2003"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"cattle|Kenya|2009|KEN/122/2009|01-Jan-2009|2009.0000"	"JX570630"	" 648"	"01-MAY-2014"	"cattle"	"Kenya: Rongai, Rift Valley Province"	"01-Jan-2009"	"SAT2"	"KEN/122/2009"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"cattle|Kenya|2009|KEN/13/2009|01-Feb-2009|2009.0849"	"JX570629"	" 648"	"01-MAY-2014"	"cattle"	"Kenya: Taita Taveta, Coast Province"	"01-Feb-2009"	"SAT2"	"KEN/13/2009"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"cattle|Kenya|2009|KEN/11/2009|01-Feb-2009|2009.0849"	"JX570628"	" 648"	"01-MAY-2014"	"cattle"	"Kenya: Kikuyu, Kiambu West, Central Province"	"01-Feb-2009"	"SAT2"	"KEN/11/2009"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"cattle|Egypt|2012|EGY/15/2012|04-Mar-2012|2012.1699"	"JX570627"	" 648"	"01-MAY-2014"	"cattle"	"Egypt: Fayoum Governorate"	"04-Mar-2012"	"SAT2"	"EGY/15/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"cattle|Egypt|2012|EGY/14/2012|03-Mar-2012|2012.1671"	"JX570626"	" 648"	"01-MAY-2014"	"cattle"	"Egypt: Garbia Governorate"	"03-Mar-2012"	"SAT2"	"EGY/14/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
