"taxa"	"X"	"genome_number"	"LOCUS"	"LENGTH"	"RECORD_DATE"	"ACCN"	"host"	"country"	"collection_date"	"serotype"	"isolate"	"organism"	"strain"	"segment"	"product"
"JN881991"	"1|cattle/Australia/1979|CSIRO156|1979"	1	"JN881991"	1154	"09-JUN-2012"	"JN881991"	"cattle"	"Australia: Beatrice Hill, Northern Territory"	"1979"	1	"CSIRO156"	"Bluetongue virus 1"	"CSIRO156"	7	"VP7"
"JN848765"	"2|sheep/China/1997|SZ97/1|1997"	2	"JN848765"	1156	"05-JAN-2012"	"JN848765"	"sheep"	"China"	"1997"	1	"SZ97/1"	"Bluetongue virus 1"	"SZ97/1"	7	"VP7"
"KP821609"	"3|sheep/Greece/2001|GRE2001/01|Oct-2001"	3	"KP821609"	1154	"16-AUG-2015"	"KP821609"	"sheep"	"Greece: Agiasos-Achladeri-Lesvos"	"Oct-2001"	1	"GRE2001/01"	"Bluetongue virus 1"	"GRE2001/01"	7	"VP7"
"KP821610"	"4|sheep/Greece/2001|GRE2001/06|Dec-2001"	4	"KP821610"	1154	"16-AUG-2015"	"KP821610"	"sheep"	"Greece: Smiksi-Grevena"	"Dec-2001"	1	"GRE2001/06"	"Bluetongue virus 1"	"GRE2001/06"	7	"VP7"
"KP821611"	"5|sheep/Greece/2001|GRE2001/10|Nov-2001"	5	"KP821611"	1154	"16-AUG-2015"	"KP821611"	"sheep"	"Greece: Potamia-Paramithia-Thesprotia"	"Nov-2001"	1	"GRE2001/10"	"Bluetongue virus 1"	"GRE2001/10"	7	"VP7"
"JQ282774"	"6|Ovis aries/India/1992|India A|03-Mar-1992"	6	"JQ282774"	1154	"08-APR-2012"	"JQ282774"	"Ovis aries"	"India: Avikanagar, Rajasthan"	"03-Mar-1992"	1	"IND1992/01"	"Bluetongue virus"	"IND1992/01"	7	"unknown"
"KP821599"	"7|sheep/Algeria/2006|ALG2006/01|Aug-2006"	7	"KP821599"	1156	"16-AUG-2015"	"KP821599"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"ALG2006/01"	"Bluetongue virus 1"	"ALG2006/01"	7	"VP7"
"KP821600"	"8|sheep/Algeria/2006|ALG2006/04|Aug-2006"	8	"KP821600"	1156	"16-AUG-2015"	"KP821600"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"ALG2006/04"	"Bluetongue virus 1"	"ALG2006/04"	7	"VP7"
"KP821601"	"9|sheep/Algeria/2008|ALG2008/10|Nov-2008"	9	"KP821601"	1156	"16-AUG-2015"	"KP821601"	"sheep"	"Algeria: Laghouat-Dakhla"	"Nov-2008"	1	"ALG2008/10"	"Bluetongue virus 1"	"ALG2008/10"	7	"VP7"
"KP821602"	"10|sheep/Cameroon/1982|CAR1982/01|Oct-1982"	10	"KP821602"	1156	"16-AUG-2015"	"KP821602"	"sheep"	"Cameroon: Cameroon"	"Oct-1982"	1	"CAR1982/01"	"Bluetongue virus 1"	"CAR1982/01"	7	"VP7"
"JX861494"	"11|sheep/France/2007|FRA2007/18|Nov-2007"	11	"JX861494"	1156	"14-DEC-2012"	"JX861494"	"sheep"	"France"	"Nov-2007"	1	"FRA2007/18"	"Bluetongue virus 1"	"FRA2007/18"	7	"VP7"
"KP821603"	"12|cattle/France/2008|FRA2008/21|Jul-2008"	12	"KP821603"	1156	"16-AUG-2015"	"KP821603"	"cattle"	"France: Beyrie-en-B_arn- Pyrenees"	"Jul-2008"	1	"FRA2008/21"	"Bluetongue virus 1"	"FRA2008/21"	7	"VP7"
"KP821604"	"13|sheep/France/2008|FRA2008/22|Aug-2008"	13	"KP821604"	1156	"16-AUG-2015"	"KP821604"	"sheep"	"France: Pinderes-Lot et Garonne-Aquitaine"	"Aug-2008"	1	"FRA2008/22"	"Bluetongue virus 1"	"FRA2008/22"	7	"VP7"
"KP821605"	"14|cattle/France/2008|FRA2008/23|Sep-2008"	14	"KP821605"	1156	"16-AUG-2015"	"KP821605"	"cattle"	"France: Faurilles-Dordogne-Aquitaine"	"Sep-2008"	1	"FRA2008/23"	"Bluetongue virus 1"	"FRA2008/23"	7	"VP7"
"JX861504"	"15|cattle/France/2008|FRA2008/24|Sep-2008"	15	"JX861504"	1156	"14-DEC-2012"	"JX861504"	"cattle"	"France"	"Sep-2008"	1	"FRA2008/24"	"Bluetongue virus 1"	"FRA2008/24"	7	"VP7"
"KP821606"	"16|cattle/France/2008|FRA2008/25|Aug-2008"	16	"KP821606"	1156	"16-AUG-2015"	"KP821606"	"cattle"	"France: Pouylebon-Gascony-Midi-Pyrenees"	"Aug-2008"	1	"FRA2008/25"	"Bluetongue virus 1"	"FRA2008/25"	7	"VP7"
"KP821607"	"17|cattle/France/2008|FRA2008/26|Oct-2008"	17	"KP821607"	1156	"16-AUG-2015"	"KP821607"	"cattle"	"France: Camaret sur mer-Finistere-Brittany"	"Oct-2008"	1	"FRA2008/26"	"Bluetongue virus 1"	"FRA2008/26"	7	"VP7"
"KP821608"	"18|sheep/Gibraltar/2007|GIB2007/06|Oct-2007"	18	"KP821608"	1156	"16-AUG-2015"	"KP821608"	"sheep"	"Gibraltar: Gibraltar"	"Oct-2007"	1	"GIB2007/06"	"Bluetongue virus 1"	"GIB2007/06"	7	"VP7"
"KP821612"	"19|sheep/Libya/2007|LIB2007/06|Aug-2007"	19	"KP821612"	1156	"16-AUG-2015"	"KP821612"	"sheep"	"Libya: Green Mountain"	"Aug-2007"	1	"LIB2007/06"	"Bluetongue virus 1"	"LIB2007/06"	7	"VP7"
"KP821613"	"20|sheep/Morocco/2006|MOR2006/06|Oct-2006"	20	"KP821613"	1156	"16-AUG-2015"	"KP821613"	"sheep"	"Morocco: Guenfouda-Oujda"	"Oct-2006"	1	"MOR2006/06"	"Bluetongue virus 1"	"MOR2006/06"	7	"VP7"
"KP821614"	"21|sheep/Morocco/2007|MOR2007/01|Jul-2007"	21	"KP821614"	1156	"16-AUG-2015"	"KP821614"	"sheep"	"Morocco: Khouribga"	"Jul-2007"	1	"MOR2007/01"	"Bluetongue virus 1"	"MOR2007/01"	7	"VP7"
"KP821615"	"22|sheep/Morocco/2007|MOR2007/02|Jul-2007"	22	"KP821615"	1156	"16-AUG-2015"	"KP821615"	"sheep"	"Morocco: Settat"	"Jul-2007"	1	"MOR2007/02"	"Bluetongue virus 1"	"MOR2007/02"	7	"VP7"
"KP821616"	"23|sheep/Morocco/2007|MOR2007/03|Jul-2007"	23	"KP821616"	1156	"16-AUG-2015"	"KP821616"	"sheep"	"Morocco: Rabat"	"Jul-2007"	1	"MOR2007/03"	"Bluetongue virus 1"	"MOR2007/03"	7	"VP7"
"KP821617"	"24|sheep/Morocco/2007|MOR2007/04|Jul-2007"	24	"KP821617"	1156	"16-AUG-2015"	"KP821617"	"sheep"	"Morocco: Kenitra"	"Jul-2007"	1	"MOR2007/04"	"Bluetongue virus 1"	"MOR2007/04"	7	"VP7"
