"SequenceName"	"LOCUS"	"LENGTH"	"RECORD_DATE"	"host"	"country"	"collection_date"	"serotype"	"isolate"	"strain"	"segment"	"gene"	"product"	"codon_start"	"note"	"COMPLEMENT"	"position"	"regAssign"
"cattle|India|2012|IND306/2012|2012|2012.4521"	"KF570684"	" 633"	"13-DEC-2013"	"cattle"	"India: Tamilnadu"	"2012"	"Asia1"	"IND306/2012"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2012|IND305/2012|19-May-2012|2012.3781"	"KF570683"	" 633"	"13-DEC-2013"	"cattle"	"India: Maharashtra"	"19-May-2012"	"Asia1"	"IND305/2012"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2012|IND303/2012|11-Apr-2012|2012.2740"	"KF570682"	" 633"	"13-DEC-2013"	"cattle"	"India: Maharashtra"	"11-Apr-2012"	"Asia1"	"IND303/2012"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2012|IND300/2012|12-Mar-2012|2012.1918"	"KF570681"	" 633"	"13-DEC-2013"	"cattle"	"India: Maharashtra"	"12-Mar-2012"	"Asia1"	"IND300/2012"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2012|IND294/2012|12-Jan-2012|2012.0301"	"KF570680"	" 633"	"13-DEC-2013"	"cattle"	"India: Maharashtra"	"12-Jan-2012"	"Asia1"	"IND294/2012"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2011|IND292/2012|23-Dec-2011|2011.9753"	"KF570679"	" 633"	"13-DEC-2013"	"cattle"	"India: Maharashtra"	"23-Dec-2011"	"Asia1"	"IND292/2012"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2012|IND291/2012|02-Mar-2012|2012.1644"	"KF570678"	" 633"	"13-DEC-2013"	"cattle"	"India: Maharashtra"	"02-Mar-2012"	"Asia1"	"IND291/2012"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2012|IND288/2012|14-Feb-2012|2012.1205"	"KF570677"	" 633"	"13-DEC-2013"	"cattle"	"India: Maharashtra"	"14-Feb-2012"	"Asia1"	"IND288/2012"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2012|IND285/2012|25-Jan-2012|2012.0658"	"KF570676"	" 633"	"13-DEC-2013"	"cattle"	"India: Maharashtra"	"25-Jan-2012"	"Asia1"	"IND285/2012"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2012|IND283/2012|13-Feb-2012|2012.1178"	"KF570675"	" 633"	"13-DEC-2013"	"cattle"	"India: Maharashtra"	"13-Feb-2012"	"Asia1"	"IND283/2012"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2012|IND135/2012|23-Feb-2012|2012.1452"	"KF570674"	" 633"	"13-DEC-2013"	"cattle"	"India: Assam"	"23-Feb-2012"	"Asia1"	"IND135/2012"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2012|IND121/2012|31-Jan-2012|2012.0822"	"KF570673"	" 633"	"13-DEC-2013"	"cattle"	"India: Karnataka"	"31-Jan-2012"	"Asia1"	"IND121/2012"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"buffalo|India|2012|IND120/2012|31-Jan-2012|2012.0822"	"KF570672"	" 633"	"13-DEC-2013"	"buffalo"	"India: Karnataka"	"31-Jan-2012"	"Asia1"	"IND120/2012"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2012|IND119/2012|19-Jan-2012|2012.0493"	"KF570671"	" 633"	"13-DEC-2013"	"cattle"	"India: Karnataka"	"19-Jan-2012"	"Asia1"	"IND119/2012"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2012|IND118/2012|19-Jan-2012|2012.0493"	"KF570670"	" 633"	"13-DEC-2013"	"cattle"	"India: Karnataka"	"19-Jan-2012"	"Asia1"	"IND118/2012"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"buffalo|India|2012|IND115/2012|18-Jan-2012|2012.0466"	"KF570669"	" 633"	"13-DEC-2013"	"buffalo"	"India: Karnataka"	"18-Jan-2012"	"Asia1"	"IND115/2012"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2012|IND114/2012|18-Jan-2012|2012.0466"	"KF570668"	" 633"	"13-DEC-2013"	"cattle"	"India: Karnataka"	"18-Jan-2012"	"Asia1"	"IND114/2012"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"buffalo|India|2011|IND68/2012|28-Dec-2011|2011.9890"	"KF570667"	" 633"	"13-DEC-2013"	"buffalo"	"India: Gujarat"	"28-Dec-2011"	"Asia1"	"IND68/2012"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2011|IND16/2012|2011|2011.4521"	"KF570666"	" 633"	"13-DEC-2013"	"cattle"	"India: Tamilnadu"	"2011"	"Asia1"	"IND16/2012"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2011|IND148/2011|05-Aug-2011|2011.5918"	"KF570665"	" 633"	"13-DEC-2013"	"cattle"	"India: Gujarat"	"05-Aug-2011"	"Asia1"	"IND148/2011"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2011|IND133/2011|29-Jul-2011|2011.5726"	"KF570664"	" 633"	"13-DEC-2013"	"cattle"	"India: Assam"	"29-Jul-2011"	"Asia1"	"IND133/2011"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2011|IND129/2011|18-Jul-2011|2011.5425"	"KF570663"	" 633"	"13-DEC-2013"	"cattle"	"India: Assam"	"18-Jul-2011"	"Asia1"	"IND129/2011"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2011|IND127/2011|07-Jul-2011|2011.5123"	"KF570662"	" 633"	"13-DEC-2013"	"cattle"	"India: Assam"	"07-Jul-2011"	"Asia1"	"IND127/2011"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2011|IND125/2011|06-Jun-2011|2011.4274"	"KF570661"	" 633"	"13-DEC-2013"	"cattle"	"India: Assam"	"06-Jun-2011"	"Asia1"	"IND125/2011"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2011|IND78/2011|29-Apr-2011|2011.3233"	"KF570660"	" 633"	"13-DEC-2013"	"cattle"	"India: West Bengal"	"29-Apr-2011"	"Asia1"	"IND78/2011"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2010|IND7/2011|Dec-2010|2010.9534"	"KF570659"	" 633"	"13-DEC-2013"	"cattle"	"India: Tripura"	"Dec-2010"	"Asia1"	"IND7/2011"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2010|IND205/2010|27-Jul-2010|2010.5671"	"KF570658"	" 633"	"13-DEC-2013"	"cattle"	"India: Gujarat"	"27-Jul-2010"	"Asia1"	"IND205/2010"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2010|IND65/2010|02-Feb-2010|2010.0877"	"KF570657"	" 633"	"13-DEC-2013"	"cattle"	"India: Gujarat"	"02-Feb-2010"	"Asia1"	"IND65/2010"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2009|IND787/2009|07-Dec-2009|2009.9315"	"KF570656"	" 633"	"13-DEC-2013"	"cattle"	"India: Gujarat"	"07-Dec-2009"	"Asia1"	"IND787/2009"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2009|IND327/2009|30-Jul-2009|2009.5753"	"KF570655"	" 633"	"13-DEC-2013"	"cattle"	"India: Gujarat"	"30-Jul-2009"	"Asia1"	"IND327/2009"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2009|IND248/2009|2009|2009.4521"	"KF570654"	" 633"	"13-DEC-2013"	"cattle"	"India: Haryana"	"2009"	"Asia1"	"IND248/2009"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"cattle|India|2008|IND341/2008|02-Mar-2008|2008.1644"	"KF570653"	" 633"	"13-DEC-2013"	"cattle"	"India: Assam"	"02-Mar-2008"	"Asia1"	"IND341/2008"	"-1"	"-1"	"1d"	"VP1"	"1"	"structural protein"	"FALSE"	"<1..>633"	"1"
"bovine|Afghanistan|2004|As/AFG/138/2004|2004|2004.4521"	"EF457994"	" 633"	"28-APR-2008"	"bovine"	"Afghanistan"	"-1"	"Asia 1"	"As/AFG/138/2004"	"-1"	"-1"	"1d"	"1D protein"	"1"	"VP1"	"FALSE"	"<1..>633"	"1"
